date,iphone,galaxy
2016-07-24,48,20
2016-07-31,48,22
2016-08-07,46,21
2016-08-14,44,19
2016-08-21,47,20
2016-08-28,51,20
2016-09-04,96,20
2016-09-11,74,20
2016-09-18,64,18
2016-09-25,59,17
2016-10-02,52,17
2016-10-09,53,19
2016-10-16,51,17
2016-10-23,48,16
2016-10-30,47,16
2016-11-06,47,15
2016-11-13,47,16
2016-11-20,52,18
2016-11-27,48,17
2016-12-04,47,18
2016-12-11,48,17
2016-12-18,50,18
2016-12-25,54,20
2017-01-01,51,17
2017-01-08,44,16
2017-01-15,44,15
2017-01-22,44,16
2017-01-29,41,16
2017-02-05,40,16
2017-02-12,41,15
2017-02-19,41,15
2017-02-26,41,17
2017-03-05,41,16
2017-03-12,40,15
2017-03-19,44,15
2017-03-26,45,21
2017-04-02,42,18
2017-04-09,41,17
2017-04-16,42,19
2017-04-23,40,20
2017-04-30,43,24
2017-05-07,40,22
2017-05-14,40,18
2017-05-21,41,17
2017-05-28,42,16
2017-06-04,42,16
2017-06-11,42,16
2017-06-18,42,16
2017-06-25,44,16
2017-07-02,43,16
2017-07-09,42,16
2017-07-16,43,16
2017-07-23,45,16
2017-07-30,46,15
2017-08-06,45,17
2017-08-13,44,16
2017-08-20,45,17
2017-08-27,46,16
2017-09-03,47,15
2017-09-10,100,16
2017-09-17,64,15
2017-09-24,57,14
2017-10-01,54,14
2017-10-08,51,14
2017-10-15,50,14
2017-10-22,55,13
2017-10-29,59,14
2017-11-05,60,14
2017-11-12,57,14
2017-11-19,58,16
2017-11-26,56,14
2017-12-03,56,15
2017-12-10,52,15
2017-12-17,56,15
2017-12-24,64,17
2017-12-31,53,14
2018-01-07,49,13
2018-01-14,45,13
2018-01-21,44,13
2018-01-28,43,12
2018-02-04,43,12
2018-02-11,43,12
2018-02-18,45,13
2018-02-25,41,16
2018-03-04,41,14
2018-03-11,42,13
2018-03-18,42,13
2018-03-25,43,13
2018-04-01,42,13
2018-04-08,41,12
2018-04-15,40,12
2018-04-22,39,12
2018-04-29,40,13
2018-05-06,40,12
2018-05-13,39,11
2018-05-20,40,12
2018-05-27,41,12
2018-06-03,40,11
2018-06-10,41,12
2018-06-17,40,12
2018-06-24,41,12
2018-07-01,41,11
2018-07-08,42,12
2018-07-15,43,11
2018-07-22,42,12
2018-07-29,43,12
2018-08-05,42,14
2018-08-12,41,13
2018-08-19,40,13
2018-08-26,40,13
2018-09-02,42,12
2018-09-09,66,12
2018-09-16,56,12
2018-09-23,49,12
2018-09-30,46,11
2018-10-07,43,12
2018-10-14,45,12
2018-10-21,44,11
2018-10-28,44,12
2018-11-04,45,11
2018-11-11,43,11
2018-11-18,49,14
2018-11-25,44,12
2018-12-02,44,12
2018-12-09,43,12
2018-12-16,43,12
2018-12-23,53,14
2018-12-30,46,12
2019-01-06,42,11
2019-01-13,39,11
2019-01-20,38,11
2019-01-27,38,11
2019-02-03,37,11
2019-02-10,37,12
2019-02-17,37,19
2019-02-24,36,15
2019-03-03,36,14
2019-03-10,36,14
2019-03-17,36,13
2019-03-24,37,13
2019-03-31,36,12
2019-04-07,37,13
2019-04-14,35,13
2019-04-21,35,13
2019-04-28,36,14
2019-05-05,35,13
2019-05-12,35,12
2019-05-19,35,12
2019-05-26,35,12
2019-06-02,38,12
2019-06-09,36,12
2019-06-16,36,12
2019-06-23,36,12
2019-06-30,37,12
2019-07-07,38,12
2019-07-14,38,13
2019-07-21,39,12
2019-07-28,38,12
2019-08-04,38,14
2019-08-11,38,14
2019-08-18,39,13
2019-08-25,38,12
2019-09-01,41,12
2019-09-08,74,12
2019-09-15,56,12
2019-09-22,58,12
2019-09-29,51,12
2019-10-06,48,11
2019-10-13,49,11
2019-10-20,46,12
2019-10-27,45,11
2019-11-03,46,11
2019-11-10,44,12
2019-11-17,45,12
2019-11-24,51,14
2019-12-01,46,12
2019-12-08,45,12
2019-12-15,46,12
2019-12-22,56,14
2019-12-29,48,13
2020-01-05,44,11
2020-01-12,42,11
2020-01-19,42,11
2020-01-26,40,11
2020-02-02,39,11
2020-02-09,40,14
2020-02-16,40,13
2020-02-23,38,12
2020-03-01,39,12
2020-03-08,37,11
2020-03-15,33,9
2020-03-22,34,9
2020-03-29,35,9
2020-04-05,37,9
2020-04-12,45,10
2020-04-19,44,11
2020-04-26,42,10
2020-05-03,42,11
2020-05-10,43,11
2020-05-17,43,11
2020-05-24,41,11
2020-05-31,42,12
2020-06-07,42,12
2020-06-14,42,11
2020-06-21,43,12
2020-06-28,42,12
2020-07-05,42,12
2020-07-12,42,11
2020-07-19,41,12
2020-07-26,42,12
2020-08-02,43,13
2020-08-09,43,12
2020-08-16,41,12
2020-08-23,41,12
2020-08-30,40,12
2020-09-06,43,11
2020-09-13,45,11
2020-09-20,47,12
2020-09-27,41,11
2020-10-04,40,11
2020-10-11,72,12
2020-10-18,53,11
2020-10-25,49,11
2020-11-01,48,11
2020-11-08,51,12
2020-11-15,51,12
2020-11-22,52,13
2020-11-29,46,12
2020-12-06,46,11
2020-12-13,44,11
2020-12-20,50,12
2020-12-27,48,12
2021-01-03,44,11
